PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365474,0.01544,0.05,836.3887269827474,5172.0,0.35,4.43,133.1468373,28.3298154,12.5855,5.72973,4.7719476e+25,1.8095350000000002e+30,11945.625,653958.0,22319457.55669827,1.1714889059751555e+18,1544645442880.8533
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.736546,0.01583,0.0,828.3059484045418,5250.0,0.35,4.42,133.1468373,28.3298154,12.5855,5.72973,4.9988987999999996e+25,1.7896500000000001e+30,13844.183,667872.0,17407860.81573337,1.247867053442921e+18,1434167201595.9358
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365437,0.01544,0.061,1958.0,5234.0,0.31,4.45,133.1468373,28.3298154,12.5855,5.72973,4.6644443999999994e+25,1.8095350000000002e+30,13251.68,653958.0,17728164.146604326,1.1714889059751555e+18,1544645442880.8533
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46308,0.0649,0.00577,600.0,3678.0,0.23,4.4,311.2911369,-31.34245,9.7221,7.84038,1.0125081010527988e+30,1.014135e+30,25210.047,514818.0,106330270729.02777,5.7154414295829965e+17,1774377381860.4106
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85969,0.1108,0.00338,459.0,3678.0,0.23,4.4,311.2911369,-31.34245,9.7221,7.84038,1.0145454093367643e+30,1.014135e+30,16067.661999999998,514818.0,262284024637.27026,5.7154414295829965e+17,1774377381860.4106
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.6855,0.241,0.0,546.0,5766.0,-0.15,4.5,53.6511231,20.5990205,179.461,10.8644,9.735012e+25,1.90896e+30,14207.33,647001.0,32189725.89774772,1.1344972958104877e+18,1682648347465.8564
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.6855,1.1152410502731903e+19,0.0,1499.1510260023906,5766.0,-0.15,4.5,53.6511231,20.5990205,179.461,10.8644,1.3287455244000001e+26,3.3207949999999996e+30,16424.438,751356.0,32875056.066543385,1.776748206952909e+18,1869029605323.2566
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,1.5089557,1.0111884678809848e+18,0.0,1898.0,5950.0,-0.3,4.25,102.0798591,-3.1021394,787.909,13.457,1.95506514e+27,1.889075e+30,106395.7,772227.0000000001,11527066.622700457,1.9289614824842624e+18,979322302261.3735
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,13.2406,0.1055,0.53,600.0,5075.0,0.26,4.65,291.0636813,0.7460143,338.386,14.6645,5.2198776e+27,1.769765e+30,69252.76999999999,549603.0,72642661.02375513,6.954019325114433e+17,2544952662999.5054
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,2.99433,0.0436,0.0,1657.0,6440.0,-0.03,4.22,280.6872998,5.9376586,655.037,12.841,4.422621924e+27,2.525395e+30,102127.13,953109.0000000001,28301097.87402038,3.6267391532294564e+18,696326615535.9542
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,2.828042,0.04016,0.07,1442.0,5675.0,0.16,4.38,100.7656871,-1.2964437,1126.37,15.3453,1.7405843112e+27,2.14758e+30,102827.94,779184.0000000001,10986984.640926054,1.9815666635690836e+18,1083778829894.0712
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,4.03519,0.051,0.0,1700.0,5945.0,0.01,4.46,102.7211432,-5.0864557,1148.93,14.9147,2.4827505696000003e+27,2.167465e+30,63200.32,702657.0,41485875.47114685,1.4531777536228828e+18,1491534669173.365
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,1.51214,0.027,0.0,1952.0,6035.0,0.05,4.35,103.4242023,-5.5360385,1744.6,15.8116,1.4425734960000001e+28,2.2470049999999998e+30,77853.62000000001,841797.0,158849572.52059394,2.498680516068516e+18,899276632426.5784
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,5.35227,0.0618,0.33,989.961519968652,5650.0,0.19,4.36,278.5246658,-6.0026026,732.409,15.6507,1.0154991168000001e+27,2.18735e+30,83523.81,827883.0,9715489.352198875,2.376815678250709e+18,920285918683.3739
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,3.7681,0.0461,0.0,1626.0,5740.0,0.0,4.4,278.699236,-6.612288,1176.12,15.4368,4.612424796e+27,2.06804e+30,72820.53,1106163.0,58053358.67667652,5.66951609238958e+18,364764817014.27985
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,1.9000693,0.0295,0.08,1550.0,5440.0,-0.1,4.4,98.1724172,-0.0316045,764.889,14.8009,6.586482168e+27,1.889075e+30,93526.28,695700.0,50256463.29912802,1.410440010853996e+18,1339351539564.0251
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,0,3.89713,0.0518,0.047,2000.0,6090.0,-0.02,4.07,97.0335983,-0.1707293,790.663,13.7831,2.106943272e+27,2.406085e+30,92124.66,1147905.0,16569399.539807579,6.335872833757507e+18,379755885752.6919
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,0,1.7429975,1.1209726085601718e+18,0.0,1535.0,5625.0,0.0,4.3,291.7770457,1.3836634,213.283,12.2489,6.28306812252e+27,1.928845e+30,100980.34999999999,626130.0,41124795.26242318,1.0282107679125631e+18,1875923750454.2698
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,9.24285,0.0902,0.562,1002.0,5880.0,0.14,4.2,97.7204249,0.2268931,844.061,14.4686,8.048047896e+27,2.2668899999999998e+30,60014.82,709614.0,149134890.6884094,1.4967702230383475e+18,1514521043449.3804
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,0,9.75598,0.092,0.077,885.0,5939.0,0.17,4.36,280.6671392,6.2191669,627.158,13.7305,7.286328e+25,2.18735e+30,31090.48,793097.9999999999,5031061.04536199,2.0896289354406717e+18,1046764792974.4619
